Gender,State,Sector,CreditID,CusID,FullNames,CompanyName,BirthDate,Address,TelNo,EmailAddr,AmountGranted,EffectiveDate,Tenor,TenorType,Rate,ScheduleType,InterestRepayFreq,PrincipalRepayFreq,NatureOfBusiness,FirstTimeAccessToCredit,StartUp,MSMEAnnualTurnover,NumberOfEmployees,Age,age_group_id,ES_Rating,green_energy/energy_efficiency,TenorInDays,MaturityDate,InterestRepayStartDate,PrincipalRepayStartDate,DateAdded
Male,Enugu,Health,CAM-100000,CUS-1000,Paul Bates,"Brown, Ritter and Gaines",1998-11-16,"PSC 1418, Box 0373
APO AP 11453",(296)718-1504x183,ericadams@hotmail.com,6388997,2023-09-19,7,Yearly,15.04,Flat Rate,Quarterly,Monthly,Production,True,True,98913836,67,21,Youth,A,True,210,2024-04-16,2023-10-19,2023-11-18,2024-01-01
Female,Rivers,Health,CAM-100001,CUS-1001,Gail Carpenter DDS,Barrera-Bell,2004-10-23,"408 Harrell Glens
Debraton, NJ 31431",001-652-807-5595x596,voneal@porter.info,7444121,2023-10-22,28,Quarterly,7.78,Flat Rate,Monthly,Monthly,Services,True,False,78943867,87,10,Adult,B,False,840,2026-02-08,2023-11-21,2023-12-21,2024-01-01
Male,Rivers,Health,CAM-100002,CUS-1002,Jason Gonzalez,Callahan-Adams,1999-10-05,"219 Frank Trail Suite 898
Corymouth, AR 34375",700-620-3219x4404,patricia12@fox.com,6738795,2023-08-31,24,Quarterly,7.31,Reducing Balance,Quarterly,Quarterly,Consulting,True,True,64779882,29,25,Adult,C,True,720,2025-08-20,2023-09-30,2023-10-30,2024-01-01
Male,Enugu,Manufacturing,CAM-100003,CUS-1003,Gina Roberts,Greene-Rodriguez,1979-09-14,"78658 Tara Ranch
North Shannonmouth, NJ 13667",+1-064-283-3934x8686,nnguyen@gibbs.info,5267348,2023-07-05,36,Yearly,8.09,Flat Rate,Monthly,Quarterly,Production,True,False,69252568,34,12,Adult,B,True,1080,2026-06-19,2023-08-04,2023-09-03,2024-01-01
Male,Lagos,Manufacturing,CAM-100004,CUS-1004,Jennifer Franco,"Barrera, Prince and Morrow",2004-01-15,"455 Jo Lane Suite 372
North Lauraview, LA 01108",+1-672-643-4320x065,srollins@yahoo.com,1216756,2023-09-03,56,Monthly,8.44,Reducing Balance,Monthly,Quarterly,Services,False,True,17366031,97,12,Adult,B,False,1680,2028-04-09,2023-10-03,2023-11-02,2024-01-01
Female,Kano,Agriculture,CAM-100005,CUS-1005,Thomas Pruitt,"Boone, Jones and Watkins",1974-04-15,"0087 Davidson Forest
South Juanhaven, CO 57938",112.911.0311x546,zflores@hotmail.com,8939834,2023-05-05,10,Monthly,17.76,Flat Rate,Monthly,Quarterly,Production,False,False,15723361,41,26,Youth,C,False,300,2024-02-29,2023-06-04,2023-07-04,2024-01-01
Male,Abuja,Trade and Commerce,CAM-100006,CUS-1006,Alfred Harding,"Guerrero, Larson and Collins",2002-05-27,"90996 Scott Rest Suite 378
Anthonymouth, KY 37625",001-985-835-8587,klineheather@lynch-golden.info,7290968,2023-09-25,24,Quarterly,19.82,Flat Rate,Monthly,Quarterly,Consulting,False,True,10454364,41,5,Adult,A,False,720,2025-09-14,2023-10-25,2023-11-24,2024-01-01
Male,Lagos,Health,CAM-100007,CUS-1007,Laura Reyes,Davis-Smith,1969-10-01,"65642 Richard Gardens Suite 918
Michaelville, SC 41221",304.650.2699x064,tiffanywalker@rodriguez.info,4251198,2023-05-11,39,Monthly,15.6,Reducing Balance,Quarterly,Quarterly,Wholesale,True,True,78864536,23,16,Youth,B,False,1170,2026-07-24,2023-06-10,2023-07-10,2024-01-01
Male,Abuja,Trade and Commerce,CAM-100008,CUS-1008,Lindsey Cooper,Clark PLC,1995-03-31,"358 Jones Harbor Suite 681
Jenniferview, OK 90917",2005389507,vwong@yahoo.com,7869434,2023-08-25,15,Yearly,21.58,Flat Rate,Monthly,Monthly,Consulting,True,False,64266549,71,1,Adult,B,False,450,2024-11-17,2023-09-24,2023-10-24,2024-01-01
Female,Enugu,Trade and Commerce,CAM-100009,CUS-1009,Dylan Jones,Sawyer-Charles,1994-01-26,"310 Lauren Extension
East Brendaville, SC 59980",(764)624-9267x214,brianrobinson@thomas-roberts.com,3638145,2023-01-18,30,Yearly,24.83,Flat Rate,Monthly,Monthly,Retail,True,False,31169138,3,28,Adult,C,False,900,2025-07-06,2023-02-17,2023-03-19,2024-01-01
Male,Oyo,Agriculture,CAM-100010,CUS-1010,Mr. Scott Christensen,Schultz-Brock,1982-05-10,"67219 Teresa Highway Suite 671
Walkermouth, DC 29080",148.150.4376x8745,ilawson@martinez.net,1726476,2023-02-09,7,Quarterly,21.4,Reducing Balance,Quarterly,Quarterly,Production,False,True,26669000,58,9,Youth,C,True,210,2023-09-07,2023-03-11,2023-04-10,2024-01-01
Male,Abuja,Health,CAM-100011,CUS-1011,Terry Wilson,"Elliott, Small and Collins",1978-10-20,"3667 Barry Track Apt. 050
North Carmenberg, TX 42850",(638)177-7711,russellhudson@brown.com,4684056,2023-01-21,16,Yearly,18.9,Flat Rate,Monthly,Monthly,Wholesale,True,True,43330304,32,12,Youth,C,False,480,2024-05-15,2023-02-20,2023-03-22,2024-01-01
